bike_id,count,duration
15539,898,832866
15540,795,737640
15541,1056,974417
15543,940,799001
15544,372,270853
15545,569,424058
15548,1123,1140124
15549,960,783505
15550,839,701233
15552,883,924717
15553,905,1536863
15554,861,779078
15555,922,1159809
15556,1032,898874
15557,808,683087
15558,838,648380
15559,608,558170
15561,844,740595
15562,1097,1030853
15563,860,1020415
15566,853,701334
15567,833,862683
15569,973,821538
15570,798,1001354
15572,1028,1064631
15573,1043,1326793
15574,1013,881747
15575,755,738341
15577,425,393437
15578,317,297269
15580,729,615663
15582,932,827476
15584,841,711305
15585,955,841031
15586,829,740137
15587,936,856269
15589,987,888877
15590,993,865794
15591,965,842121
15592,1148,934185
15593,665,609916
15594,1236,1018625
15595,1024,857693
15596,898,865587
15597,868,849692
15598,922,803080
15599,673,543407
15600,846,736402
15602,1028,861479
15603,896,860754
15604,673,1206494
15605,993,800696
15607,1094,966888
15608,999,1301171
15609,1140,1043170
15612,1074,931747
15614,1113,1073209
15617,665,737400
15618,883,692784
15620,929,857986
15621,910,833812
15622,1185,1049709
15623,762,679072
15624,979,1031094
15626,1200,1085366
15627,808,2431104
15628,131,97328
15629,945,1389885
15630,970,863832
15631,802,977374
15632,777,591279
15634,1067,876856
15636,1177,1040901
15637,1276,1077144
15638,981,828844
15639,1038,924510
15640,890,743954
15641,1013,858405
15644,847,1268977
15645,1130,1041840
15647,1060,998392
15648,703,949807
15650,673,732965
15651,220,143164
15652,880,1297245
15653,820,671213
15655,1046,915425
15656,1018,887265
15657,1109,1026631
15658,1014,897191
15660,990,912857
15661,822,857555
15662,702,559874
15663,1034,872030
15664,774,676301
15665,999,871974
15666,1176,1049134
15667,1053,914132
15670,787,1123450
15671,534,1142979
15674,608,563249
15675,1104,913608
15676,1203,1052479
15677,1216,1260064
15678,937,1199024
15679,935,830291
15680,1018,1114016
15681,1015,914041
15683,1041,996189
15685,1151,1077401
15686,821,789167
15687,1160,1028554
