id,month,count
248,2019-11-01 00:00:00,813
248,2019-12-01 00:00:00,535
249,2019-01-01 00:00:00,926
249,2019-02-01 00:00:00,838
249,2019-03-01 00:00:00,1275
249,2019-04-01 00:00:00,1813
249,2019-05-01 00:00:00,1909
249,2019-06-01 00:00:00,1969
249,2019-07-01 00:00:00,1918
249,2019-08-01 00:00:00,1999
249,2019-09-01 00:00:00,2381
249,2019-10-01 00:00:00,1851
249,2019-11-01 00:00:00,1317
249,2019-12-01 00:00:00,763
250,2019-08-01 00:00:00,2503
250,2019-09-01 00:00:00,7499
250,2019-10-01 00:00:00,6279
250,2019-11-01 00:00:00,4478
250,2019-12-01 00:00:00,3139
251,2019-01-01 00:00:00,2289
251,2019-02-01 00:00:00,2178
251,2019-03-01 00:00:00,3333
251,2019-04-01 00:00:00,4841
251,2019-05-01 00:00:00,5384
251,2019-06-01 00:00:00,6163
251,2019-07-01 00:00:00,6245
251,2019-08-01 00:00:00,6951
251,2019-09-01 00:00:00,6670
251,2019-10-01 00:00:00,5315
251,2019-11-01 00:00:00,3418
251,2019-12-01 00:00:00,2225
252,2019-01-01 00:00:00,1694
252,2019-02-01 00:00:00,1730
252,2019-03-01 00:00:00,2512
252,2019-04-01 00:00:00,4462
252,2019-05-01 00:00:00,4054
252,2019-06-01 00:00:00,4219
252,2019-07-01 00:00:00,4435
252,2019-08-01 00:00:00,4925
252,2019-09-01 00:00:00,5357
252,2019-10-01 00:00:00,4585
252,2019-11-01 00:00:00,2837
252,2019-12-01 00:00:00,1621
254,2019-01-01 00:00:00,2263
254,2019-02-01 00:00:00,2201
254,2019-03-01 00:00:00,3159
254,2019-04-01 00:00:00,4139
254,2019-05-01 00:00:00,4119
254,2019-06-01 00:00:00,4935
254,2019-07-01 00:00:00,4732
254,2019-08-01 00:00:00,5446
254,2019-09-01 00:00:00,6526
254,2019-10-01 00:00:00,5388
254,2019-11-01 00:00:00,3582
254,2019-12-01 00:00:00,2385
257,2019-01-01 00:00:00,1994
257,2019-02-01 00:00:00,1998
257,2019-03-01 00:00:00,2956
257,2019-04-01 00:00:00,4180
257,2019-05-01 00:00:00,4476
257,2019-06-01 00:00:00,5009
257,2019-07-01 00:00:00,5229
257,2019-08-01 00:00:00,5788
257,2019-09-01 00:00:00,6123
257,2019-10-01 00:00:00,5205
257,2019-11-01 00:00:00,3468
257,2019-12-01 00:00:00,2124
258,2019-01-01 00:00:00,1041
258,2019-02-01 00:00:00,1026
258,2019-03-01 00:00:00,1479
258,2019-04-01 00:00:00,1724
258,2019-05-01 00:00:00,1788
258,2019-06-01 00:00:00,2114
258,2019-07-01 00:00:00,1720
258,2019-08-01 00:00:00,1890
258,2019-09-01 00:00:00,1866
258,2019-10-01 00:00:00,1573
258,2019-11-01 00:00:00,1088
258,2019-12-01 00:00:00,858
259,2019-01-01 00:00:00,1012
259,2019-02-01 00:00:00,887
259,2019-03-01 00:00:00,1547
259,2019-04-01 00:00:00,1964
259,2019-05-01 00:00:00,3299
259,2019-06-01 00:00:00,3648
259,2019-07-01 00:00:00,3833
259,2019-08-01 00:00:00,4405
259,2019-09-01 00:00:00,4274
259,2019-10-01 00:00:00,3038
259,2019-11-01 00:00:00,1335
259,2019-12-01 00:00:00,847
260,2019-01-01 00:00:00,872
260,2019-02-01 00:00:00,853
260,2019-03-01 00:00:00,590
260,2019-04-01 00:00:00,753
260,2019-05-01 00:00:00,1613
260,2019-06-01 00:00:00,1630
260,2019-07-01 00:00:00,1631
260,2019-08-01 00:00:00,1755
260,2019-09-01 00:00:00,1939
260,2019-10-01 00:00:00,1708
260,2019-11-01 00:00:00,1154
260,2019-12-01 00:00:00,810
